new_id,id,text,date,event_minute,ticker,company_name,industry,event_time_et,in_trading_hours,adjusted_event_time_et,adjusted_event_time_utc,event_1h_pre_et,event_1h_end_et,event_5d_pre_et,event_5d_end_et,event_1h_pre,event_1h_end,event_5d_pre,event_5d_end
236,1110989595758469120,....Also discussed political fairness and various things that @Google can do for our Country. Meeting ended very well!,2019-03-27 19:38:55,2019-03-27 19:38:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-03-27 15:38:00-04:00,0,2019-03-27 15:38:00-04:00,2019-03-27 19:38:00+00:00,2019-03-27 14:38:00-04:00,2019-03-27 16:38:00-04:00,2019-03-20 09:30:00-04:00,2019-04-03 09:30:00-04:00,2019-03-27 18:38:00+00:00,2019-03-27 20:38:00+00:00,2019-03-20 13:30:00+00:00,2019-04-03 13:30:00+00:00
207,1151095675213553664,“Billionaire Tech Investor Peter Thiel believes Google should be investigated for treason. He accuses Google of working with the Chinese Government.” @foxandfriends  A great and brilliant guy who knows this subject better than anyone! The Trump Administration will take a look!,2019-07-16 11:46:09,2019-07-16 11:46:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-07-16 07:46:00-04:00,1,2019-07-17 09:30:00-04:00,2019-07-17 13:30:00+00:00,2019-07-17 08:30:00-04:00,2019-07-17 10:30:00-04:00,2019-07-10 09:30:00-04:00,2019-07-24 09:30:00-04:00,2019-07-17 12:30:00+00:00,2019-07-17 14:30:00+00:00,2019-07-10 13:30:00+00:00,2019-07-24 13:30:00+00:00
204,1154753932259991552,"There may or may not be National Security concerns with regard to Google and their relationship with China. If there is a problem, we will find out about it. I sincerely hope there is not!!!",2019-07-26 14:02:46,2019-07-26 14:02:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-07-26 10:02:00-04:00,0,2019-07-26 10:02:00-04:00,2019-07-26 14:02:00+00:00,2019-07-26 09:02:00-04:00,2019-07-26 11:02:00-04:00,2019-07-19 09:30:00-04:00,2019-08-02 09:30:00-04:00,2019-07-26 13:02:00+00:00,2019-07-26 15:02:00+00:00,2019-07-19 13:30:00+00:00,2019-08-02 13:30:00+00:00
201,1158551525817536512,Check out what @Google is up to for the 2020 election! #KAG2020 https://t.co/roM2WNmUSP,2019-08-06 01:33:03,2019-08-06 01:33:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-08-05 21:33:00-04:00,1,2019-08-06 09:30:00-04:00,2019-08-06 13:30:00+00:00,2019-08-06 08:30:00-04:00,2019-08-06 10:30:00-04:00,2019-07-30 09:30:00-04:00,2019-08-13 09:30:00-04:00,2019-08-06 12:30:00+00:00,2019-08-06 14:30:00+00:00,2019-07-30 13:30:00+00:00,2019-08-13 13:30:00+00:00
198,1158706058724040704,"....in 2020.” Lou Dobbs stated that this is a fraud on the American public. @peterschweizer stated with certainty that they suppressed negative stories on Hillary Clinton, and boosted negative stories on Donald Ttump. All very illegal. We are watching Google very closely!",2019-08-06 11:47:06,2019-08-06 11:47:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-08-06 07:47:00-04:00,1,2019-08-07 09:30:00-04:00,2019-08-07 13:30:00+00:00,2019-08-07 08:30:00-04:00,2019-08-07 10:30:00-04:00,2019-07-31 09:30:00-04:00,2019-08-14 09:30:00-04:00,2019-08-07 12:30:00+00:00,2019-08-07 14:30:00+00:00,2019-07-31 13:30:00+00:00,2019-08-14 13:30:00+00:00
195,1158797735488888837,"...in 2020.” Lou Dobbs stated that this is a fraud on the American public. @peterschweizer stated with certainty that they suppressed negative stories on Hillary Clinton, and boosted negative stories on Donald Trump. All very illegal. We are watching Google very closely!",2019-08-06 17:51:24,2019-08-06 17:51:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-08-06 13:51:00-04:00,0,2019-08-06 13:51:00-04:00,2019-08-06 17:51:00+00:00,2019-08-06 12:51:00-04:00,2019-08-06 14:51:00-04:00,2019-07-30 09:30:00-04:00,2019-08-13 09:30:00-04:00,2019-08-06 16:51:00+00:00,2019-08-06 18:51:00+00:00,2019-07-30 13:30:00+00:00,2019-08-13 13:30:00+00:00
184,1163478770587721729,"Wow, Report Just Out! Google manipulated from 2.6 million to 16 million votes for Hillary Clinton in 2016 Election! This was put out by a Clinton supporter, not a Trump Supporter! Google should be sued. My victory was even bigger than thought! @JudicialWatch",2019-08-19 15:52:09,2019-08-19 15:52:00+00:00,GOOGL,Alphabet Inc.,Technology & Internet,2019-08-19 11:52:00-04:00,0,2019-08-19 11:52:00-04:00,2019-08-19 15:52:00+00:00,2019-08-19 10:52:00-04:00,2019-08-19 12:52:00-04:00,2019-08-12 09:30:00-04:00,2019-08-26 09:30:00-04:00,2019-08-19 14:52:00+00:00,2019-08-19 16:52:00+00:00,2019-08-12 13:30:00+00:00,2019-08-26 13:30:00+00:00
39,688327093214662657,"""Ted Cruz said he """"didn't know"""" that he was a Canadian Citizen. He also FORGOT to file his Goldman Sachs Million $ loan papers.Not believable""",2016-01-16 11:49:02,2016-01-16 11:49:00+00:00,GS,Goldman Sachs,Financials (Banks),2016-01-16 06:49:00-05:00,1,2016-01-19 09:30:00-05:00,2016-01-19 14:30:00+00:00,2016-01-19 08:30:00-05:00,2016-01-19 10:30:00-05:00,2016-01-11 09:30:00-05:00,2016-01-26 09:30:00-05:00,2016-01-19 13:30:00+00:00,2016-01-19 15:30:00+00:00,2016-01-11 14:30:00+00:00,2016-01-26 14:30:00+00:00
37,688443772565348352,"Wow! Ted Cruz received $487K in campaign contributions, $11M from a NY hedge fund mogul, &amp, $1M low int. loan from Goldman Sachs. Hypocrite",2016-01-16 19:32:40,2016-01-16 19:32:00+00:00,GS,Goldman Sachs,Financials (Banks),2016-01-16 14:32:00-05:00,1,2016-01-19 09:30:00-05:00,2016-01-19 14:30:00+00:00,2016-01-19 08:30:00-05:00,2016-01-19 10:30:00-05:00,2016-01-11 09:30:00-05:00,2016-01-26 09:30:00-05:00,2016-01-19 13:30:00+00:00,2016-01-19 15:30:00+00:00,2016-01-11 14:30:00+00:00,2016-01-26 14:30:00+00:00
33,690684930259423232,Ted Cruz went down big in just released Reuters poll - what's going on? Is it Goldman Sachs/Citi loans or Canada?,2016-01-22 23:58:14,2016-01-22 23:58:00+00:00,GS,Goldman Sachs,Financials (Banks),2016-01-22 18:58:00-05:00,1,2016-01-25 09:30:00-05:00,2016-01-25 14:30:00+00:00,2016-01-25 08:30:00-05:00,2016-01-25 10:30:00-05:00,2016-01-15 09:30:00-05:00,2016-02-01 09:30:00-05:00,2016-01-25 13:30:00+00:00,2016-01-25 15:30:00+00:00,2016-01-15 14:30:00+00:00,2016-02-01 14:30:00+00:00
